molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm,Label
mol_79,1,0,0,0,0,4,2,0,431.392,9.899,715.583,168.233,79.052,319.773,148.526,1251.069,1,6.5,0.0783256,0.0090835,0.7846798,44.399,11.994,21.231,11.191,4.789,-6.877,-6.383,-6.541,1763.002,-0.169,5944.897,-1.466,8.594,1.332,3,0.55,1,100,148.526,0,70.433,6,0,21,0,21,4,31,1,0.002,1
mol_80,0,0,0,0,0,6,1,-1,443.428,11.092,745.374,192.189,117.627,317.47,118.087,1315.918,2,8.2,0.0934945,0.015558,0.7791307,45.688,13.319,24.224,14.196,3.985,-6.338,-5.916,-6.62,759.349,-0.8,1629.302,-1.993,8.423,1.164,4,0.295,1,100,118.087,0,91.466,7,0,21,0,21,4,32,1,0.002,1
mol_81,1,0,0,0,0,4,1,0,413.401,11.882,711.695,192.516,78.593,322.446,118.141,1243.04,1,6.5,0.1135865,0.0091331,0.785587,44.103,12.126,21.464,11.186,4.629,-6.676,-6.017,-6.539,1780.737,-0.237,4096.318,-1.448,8.523,1.296,3,0.529,1,100,118.141,0,70.609,6,0,21,0,21,4,30,1,0.003,1
mol_82,1,0,0,0,0,4,1,0,412.414,11.513,713.844,192.278,64.207,339.602,117.758,1251.393,1,5.5,0.1059271,0.0077048,0.786727,44.602,12.225,20.955,10.225,5.225,-7.095,-6.401,-6.603,2437.97,-0.08,5724.766,-1.122,8.54,1.277,2,0.759,1,100,117.758,0,60.493,5,1,21,0,21,4,30,1,0.002,1
mol_83,1,0,0,0,0,6,1,0,412.414,11.566,692.105,210.375,57.117,307.025,117.587,1237.827,2,5,0.1080611,0.0102168,0.8055634,42.463,12,21.343,10.434,5.202,-6.468,-6.285,-6.142,2846.146,-0.096,6752.927,-0.915,8.456,0.979,0,0.693,1,100,117.587,0,66.575,5,1,19,3,16,3,30,1,0.017,1
mol_84,2,0,0,0,0,6,1,0,426.44,12.063,749.743,235.327,69.833,327.011,117.572,1313.425,2,5,0.1107935,0.0094313,0.7736114,45.68,13.053,22.479,10.795,5.596,-7.482,-6.505,-6.755,2156.111,-0.288,5001.106,-1.079,8.664,1.221,0,0.878,1,100,117.572,0,70.565,5,1,20,4,16,4,31,1,0.001,1
mol_85,2,0,0,0,0,6,1,0,426.44,11.78,750.857,237.581,51.589,326.011,135.676,1318.78,2,5,0.1052318,0.0094173,0.7745621,45.884,12.848,22.478,10.673,5.824,-7.581,-6.505,-6.735,3211.289,-0.038,9665.915,-0.746,8.486,0.985,0,0.893,1,100,135.676,0,65.844,5,1,20,4,16,4,31,1,0.002,1
mol_86,1,0,0,0,0,4,2,0,431.392,3.202,716.573,169.545,86.109,313.107,147.812,1250.052,1,6.5,0.0081997,0.009071,0.7831717,44.295,11.996,20.246,11.196,4.722,-6.891,-6.383,-6.534,1511.232,-0.251,4987.668,-1.619,8.715,1.601,3,0.547,1,100,147.812,0,72.427,6,0,21,0,21,4,31,1,0.001,1
mol_87,2,0,0,0,0,4,1,1,476.473,5.22,800.408,308.319,54.944,290.365,146.779,1426.003,1,5,0.0191084,0.0062468,0.7654803,51.119,13.397,21.742,9.553,6.66,-8.978,-7.923,-6.712,2984.467,0.057,10000,-1.125,8.661,1.356,2,1.336,1,100,146.779,0,63.518,6,1,21,0,21,4,34,1,0,1
mol_88,1,0,0,0,0,4,1,0,413.401,10.096,712.568,193.718,84.397,316.636,117.816,1242.337,1,6.5,0.0820474,0.0091219,0.7843292,44.02,12.125,21.014,11.188,4.575,-6.69,-6.017,-6.532,1568.768,-0.303,3557.304,-1.575,8.558,1.498,3,0.527,1,100,117.816,0,73.072,6,0,21,0,21,4,30,1,0.002,1
