Filename,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
DB08873,0,0,0,0,3,10,2,-2,519.683,3.918,840.814,664.981,175.834,0,0,1664.122,1.75,8.75,0.009223,0.0137666,0.8077094,54.023,15.199,25.251,15.683,2.883,-4.929,-3.911,-0.52,83.775,-1.836,93.005,-3.8,9.517,0.253,4,-0.008,3,65.286,0,50.924,166.299,10,1,10,7,3,9,37,0,0.001
DB08874,14,0,0,0,0,33,5,-2,1058.052,5.513,1401.996,919.611,313.999,53.672,114.714,2949.512,6,22.55,0.0103042,0.0393981,0.7094445,91.209,30.609,52.475,29.354,5.831,-7.634,-11.559,-6.489,10.429,-5.303,15.16,-3.949,9.13,0.717,17,0.347,1,27.481,0,0,256.984,18,4,18,0,18,10,72,3,0
DB08875,2,0,0,0,0,8,1,-1,501.513,5.622,861.043,297.026,83.636,433.561,46.82,1525.318,0,6,0.0207211,0,0.7442409,53.893,16.144,21.479,9.471,6.432,-8.294,-8.065,-7.738,1595.07,-0.81,1479.149,-0.766,8.928,1.174,3,1.101,1,96.012,46.82,0,100.481,8,2,25,3,22,3,37,1,0
DB08877,0,0,0,0,0,4,0,-2,306.369,8.585,579.664,223.411,151.889,204.364,0,1015.157,1,5,0.0725985,0.0086257,0.8427087,33.856,10.369,16.254,9.045,2.754,-5.393,-5.269,-5.052,359.366,-1.103,163.658,-3.215,8.712,0.731,2,0.247,3,88.809,0,0,78.677,6,0,19,0,19,5,23,0,0.001
DB08880,0,0,0,0,0,4,1,0,270.211,8.258,493.607,83.356,138.354,154.387,117.51,809.41,1,3.75,0.0842475,0.0075971,0.8509352,25.145,7.138,13.107,7.215,2.437,-4.507,-4.566,-4.68,482.939,-0.663,991.737,-3.141,9.169,0.948,1,-0.061,3,89.249,117.51,0,78.676,4,0,6,0,6,0,19,0,0.003
DB08881,0,0,0,0,0,7,0,-1,489.923,6.696,713.467,164.023,144.082,266.422,138.941,1321.83,1,6.5,0.0339149,0.0091104,0.8164094,44.795,13.69,21.012,10.6,4.702,-6.309,-7.841,-5.773,426.161,-0.959,1135.224,-2.564,8.854,1.337,1,0.63,1,100,67.38,0,102.445,6,0,21,0,21,0,33,1,0.001
DB08882,0,1,0,0,0,5,0,0,472.549,5.174,825.195,486.196,133.767,205.231,0,1487.42,2,8.5,0.0180007,0.0145672,0.7636559,52.122,15.125,24.922,14.21,3.693,-6.023,-5.504,-7.061,133.133,-0.869,61.899,-4.844,8.405,1.029,5,0.712,3,86.592,0,0,118.343,10,0,25,0,25,5,35,1,0
DB08883,1,0,0,0,0,3,0,0,349.391,5.822,655.695,0,102.41,553.285,0,1143.683,0,5.5,0.0296371,0,0.8066165,42.974,13.46,17.927,10.513,4.017,-6.274,-6.38,-7.3,1058.646,-0.667,526.141,-1.17,8.689,0.752,1,0.339,1,100,0,0,64.482,4,0,24,0,24,0,27,1,0.013
DB08887,1,0,0,0,0,14,1,0,330.509,2.699,657.616,547.969,38.188,71.459,0,1253.515,0,2,0.0058122,0,0.8549599,35.705,10.629,11.925,0.929,6.318,-5.353,-5.164,-4.22,4302.937,-0.629,2395.383,-0.627,9.767,-0.743,7,1.128,1,100,0,0,35.511,2,1,0,0,0,0,24,1,0.346
DB08889,4,1,0,0,4,20,2,-2,719.92,8.227,970.283,574.674,112.542,283.067,0,2125.193,0.75,14.45,0.0318498,0.0128973,0.8238829,68.758,20.134,32.505,20.186,2.993,-1.528,-5.01,-0.96,69.054,-1.349,102.151,-2.739,9.429,0.127,9,-0.793,1,51.472,0,61.102,172.201,12,2,21,3,18,6,52,1,38.922
DB08893,0,1,0,0,0,11,0,-2,396.506,5.715,740.357,167.303,169.536,350.116,53.401,1295.223,5,7.7,0.0252194,0.023256,0.7761641,41.961,15.552,25.877,17.535,2.441,-3.754,-3.928,-7.55,60.966,-1.446,52.19,-4.417,8.392,0.206,6,-0.064,3,73.186,0,0,106.367,6,0,17,0,17,0,28,0,0.003
